ensemble_name,members,weights,oof_auc
weighted__catboost__eng_no_time=0.80__lightgbm__eng_no_time_knn=0.20__xgboost__eng_no_time_knn=0.00,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.8, 0.2, 0.0]",0.7527207491976142
weighted__catboost__eng_no_time=0.75__lightgbm__eng_no_time_knn=0.25__xgboost__eng_no_time_knn=0.00,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.75, 0.25, 0.0]",0.7527084393340759
weighted__catboost__eng_no_time=0.80__lightgbm__eng_no_time_knn=0.15__xgboost__eng_no_time_knn=0.05,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.8, 0.15000000000000002, 0.04999999999999993]",0.7526691072147628
weighted__catboost__eng_no_time=0.75__lightgbm__eng_no_time_knn=0.20__xgboost__eng_no_time_knn=0.05,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.75, 0.2, 0.04999999999999999]",0.7526623206903976
weighted__catboost__eng_no_time=0.85__lightgbm__eng_no_time_knn=0.15__xgboost__eng_no_time_knn=0.00,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.8500000000000001, 0.15000000000000002, 0.0]",0.7526560666852801
weighted__catboost__eng_no_time=0.70__lightgbm__eng_no_time_knn=0.30__xgboost__eng_no_time_knn=0.00,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.7000000000000001, 0.30000000000000004, 0.0]",0.752621291939993
weighted__catboost__eng_no_time=0.85__lightgbm__eng_no_time_knn=0.10__xgboost__eng_no_time_knn=0.05,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.8500000000000001, 0.1, 0.049999999999999906]",0.7525842137393557
weighted__catboost__eng_no_time=0.70__lightgbm__eng_no_time_knn=0.25__xgboost__eng_no_time_knn=0.05,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.7000000000000001, 0.25, 0.04999999999999993]",0.7525831734691977
weighted__catboost__eng_no_time=0.75__lightgbm__eng_no_time_knn=0.15__xgboost__eng_no_time_knn=0.10,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.75, 0.15000000000000002, 0.09999999999999998]",0.7525199522887522
weighted__catboost__eng_no_time=0.80__lightgbm__eng_no_time_knn=0.10__xgboost__eng_no_time_knn=0.10,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.8, 0.1, 0.09999999999999995]",0.7525092523671254
