feature,mean_abs_shap_train,mean_abs_shap_test
num__pay_0,0.231659483418958,0.2057383698493038
cat__employer_sector_tech,0.16789897659054656,0.16156996093691706
num__late_any,0.14056127989435147,0.13235621654092283
num__late_max,0.13798740359584516,0.12623134896159763
cat__employer_sector_retail,0.10967027696595463,0.1108307536032383
cat__employer_sector_construction,0.10761044257373341,0.1112410274198251
cat__employer_sector_hospitality,0.09824398422225439,0.10065968730376486
num__credit_history_per_age,0.07431209720467964,0.07354501983352135
num__log1p_months_since_first_credit,0.07292812002593911,0.0750658370547843
cat__employer_sector_finance,0.0726812450388116,0.07409773547201381
num__limit_to_age,0.06356161600647421,0.06261220505463667
cat__employer_sector_healthcare,0.06342413521558818,0.06294801656803
cat__employer_sector_government,0.06205400987604316,0.06381720974392291
num__pay_min,0.0611347285060255,0.0620336776335049
num__pay_amt1,0.06080992542591938,0.06445801960781129
num__bill_diff_1_2,0.05787233918293606,0.06013524394341535
num__months_per_card,0.05020955365502483,0.05243949170672869
num__marriage,0.047647535133654294,0.04573816440625184
cat__employer_sector_transport,0.04618734813559494,0.04830793025576019
cat__employer_sector_education,0.04380075748571913,0.0439574706448448
num__pay_change_1_6,0.0387110832213738,0.03916309019328895
num__bill_diff_2_3,0.0335069939247583,0.03326186070483612
num__log1p_pay_mean,0.032655373229048316,0.034263031828360296
num__pay_amt4,0.03169797472955086,0.03381129115597528
num__pay_diff_3_4,0.030392447159672372,0.030235628708654896
num__bill_change_1_6,0.0272242429799139,0.02654178909249359
num__pay_to_abs_bill_3,0.026359687876866128,0.028757388203724945
num__pay_diff_2_3,0.02627688965255791,0.025287554666957035
num__limit_per_card,0.025590152884883997,0.0234098744783932
num__bill_abs_max,0.024952615101638164,0.02737409775298263
cat__employer_sector_manufacturing,0.02448584028262969,0.023235912638991007
num__age,0.024428766065790787,0.024567825507326068
num__pay_diff_5_6,0.023127932425323523,0.0236024662997381
num__pay_diff_mean,0.023004092070743696,0.024466120828936653
num__pay_minus_bill_2,0.022481020831519753,0.022777284128308362
num__pay_amt3,0.022183961154804345,0.023844559162357365
num__bill_range,0.022168632231237453,0.023023138046966703
num__bill_diff_5_6,0.022059912323083197,0.022940266295844294
num__bill_diff_mean,0.021463846505903415,0.02113726824307334
num__bill_diff_3_4,0.021365718899209022,0.02116238905835002
num__pay_amt2,0.021278731433599516,0.022233432448114498
num__pay_to_pos_bill_1,0.021196244744158342,0.021833019690778183
num__sex,0.020980284360835336,0.02125768754543603
num__pay_to_abs_bill_5,0.020924271209613727,0.020173407272182104
num__late_mean,0.02073798773623361,0.019042235627940968
num__bill_diff_4_5,0.0204045751169453,0.01919325575396631
num__pay_to_abs_bill_1,0.020365282372513907,0.020396664167538252
num__bill_abs_std,0.019501746524267123,0.01980872727779225
num__util_abs_3,0.0190749050541198,0.019516119593119587
num__pay_to_pos_bill_6,0.018797923655057856,0.020034385540982698
num__pay_diff_std,0.018569353750265482,0.018505083039024563
num__pay_to_abs_bill_mean,0.018511030150974793,0.019193269824961782
num__pay_to_abs_bill_2,0.017433161117406483,0.019282716575600805
num__pay_amt5,0.016745691397780108,0.0184505913054686
num__limit_bal,0.016132237791584722,0.017635723594186043
num__bill_diff_std,0.01606414419980534,0.015851416119942514
num__pay_3,0.01603644275529016,0.01633228441889319
num__bill_amt3,0.015663338660242436,0.015301140287489173
num__util_abs_2,0.01550885275609733,0.01545152987793485
num__late_severe_count,0.015369004368346713,0.013747223938977036
num__pay_minus_bill_1,0.0151767007831606,0.016374124732913567
num__util_abs_mean,0.01513847102161121,0.01513902013369552
num__log1p_pay_sum,0.014792326048751093,0.014903257903622671
num__late_count,0.01459336754462909,0.013624766325194208
num__pay_to_pos_bill_5,0.014550752399115524,0.014516565888864071
num__pay_to_abs_bill_max,0.014211338473278625,0.014292055906146269
num__pay_to_pos_bill_4,0.014010805901100584,0.015143190753846694
num__util_abs_1,0.01397827442561931,0.011989608003957819
num__bill_amt1,0.013909109904731442,0.014764762871604475
cat__education_other,0.013594364169146616,0.010820057475476496
num__util_pos_1,0.013324250343488163,0.012582684449257243
num__pay_to_pos_bill_mean,0.013198404121423719,0.014406208157732941
num__pay_diff_1_2,0.013147858179739956,0.014190697373038366
num__bill_amt6,0.013046246835391382,0.013797827628472457
num__months_since_first_credit,0.012887404311216613,0.013325667938827569
num__util_signed_min,0.012817301133993394,0.01225682257324151
num__pay_diff_4_5,0.01253669914204121,0.01249820153217233
num__pay_to_abs_bill_6,0.01188616442045822,0.01182872232046164
num__log1p_pay_max,0.011872566607560562,0.01115739866242997
num__bill_std,0.011784251725920873,0.012338370425200635
num__pay_to_abs_bill_4,0.011704638953083268,0.012136821111436205
num__util_abs_6,0.011075879103466803,0.01033211022296653
num__bill_min,0.01106037230088843,0.011227660711597061
num__pay_minus_bill_6,0.010938847594493616,0.011219027810122115
num__pay_mean,0.010768985819594776,0.01085693274101268
num__pay_minus_bill_3,0.010643735001832839,0.011650216993540208
num__bill_max,0.010604333348434039,0.0111826359115838
num__log1p_num_credit_cards,0.010558542641863563,0.011055886584959838
num__util_abs_max,0.01039707836900879,0.009871063740036743
num__pay_to_pos_bill_2,0.010279380079630956,0.012564195212774529
num__pay_amt6,0.010198758830770075,0.010335040357751273
num__pay_minus_bill_5,0.010111242861433145,0.012379879070837558
num__pay_std,0.00953748856078439,0.008907405852521456
num__pay_to_pos_bill_3,0.009229761381943275,0.00935998549598978
num__util_pos_2,0.008966966523068118,0.008959060225679178
num__pay_minus_bill_4,0.008924891020191153,0.009732278771565035
num__util_abs_4,0.008807666163911428,0.008771746519848122
num__pay_minus_bill_sum,0.008599674046513765,0.008791350144629386
num__bill_amt4,0.00846964529757197,0.008492194168485177
num__util_signed_mean,0.008301355816925883,0.0091205228527902
num__bill_abs_mean,0.00827863712361662,0.009007624114618813
num__bill_amt2,0.008091284363109758,0.008376450259062862
num__util_abs_5,0.007370549215586301,0.0070378918375001084
num__util_pos_3,0.007296653022999167,0.006970261678447399
num__util_signed_2,0.007191623621887546,0.006731615867491472
num__util_signed_3,0.007171914078266415,0.00669570107964464
num__util_signed_max,0.007073920734696038,0.006787815675912601
num__util_pos_6,0.0069168103741707775,0.0061107740465929684
num__util_pos_4,0.006723593136820608,0.006725100829373095
num__bill_abs_sum,0.006650532756403065,0.006569622540148152
num__total_cash_flow,0.006587969326129388,0.007113591897539339
num__bill_mean,0.006582641355297132,0.006765641829735419
num__pay_gt_abs_bill_frac,0.0065519322089259615,0.006622703421861151
num__util_pos_mean,0.006498644828343379,0.0065117185498319045
num__util_pos_max,0.006352736851713438,0.006010819522217207
num__bill_amt5,0.006252448042512484,0.006442360753948126
num__util_pos_5,0.005731310333737805,0.006119841229831921
num__bill_amt5_signed_log,0.0056392297553097695,0.0064979823030269016
cat__education_high school,0.005499820957150233,0.006907466927922146
num__util_signed_6,0.005369483075121328,0.005200209489647156
num__total_cash_flow_absbill,0.005272035939682274,0.005388142920452528
num__util_signed_1,0.0047085711367603434,0.004338890193074705
num__pay_minus_bill_mean,0.004421504367568999,0.005220552924955531
num__util_signed_5,0.004291900531852625,0.004433526362513326
num__pay_sum,0.00416582917993267,0.003958570610646439
num__late_min,0.0038746884808139224,0.003552211921525269
num__bill_pos_sum,0.0037939906915318115,0.003788296232958139
num__bill_sum,0.003603120507803904,0.003294937671931961
num__bill_amt1_signed_log,0.0035393169649325608,0.0034457244269430797
num__bill_amt2_signed_log,0.00342052762930999,0.0035071132995550536
num__late_std,0.0027041329553589913,0.002754544857545288
num__log1p_bill_abs_max,0.00244253275452013,0.00254706694815529
num__util_signed_4,0.0023873728610429453,0.002460734924950787
num__bill_amt3_signed_log,0.0023727053039832987,0.0023794135433491434
num__pay_max,0.002291008547410641,0.002194919439855559
cat__education_university,0.002287541699413227,0.0024198570029678227
cat__education_graduate school,0.0021343442518059314,0.0020598404735019007
num__num_credit_cards,0.001968029477191619,0.0021539984605065876
num__bill_amt4_signed_log,0.0019394418240053046,0.0019185343048942947
num__log1p_limit_bal,0.0018362973977123682,0.002047611994083494
num__bill_amt6_signed_log,0.0016891870718104371,0.00202268028815324
num__bill_neg_sum,0.001661613979448679,0.0015805769910336664
num__bill_neg_abs_sum,0.0012745715807676709,0.0014200569242459962
num__log1p_bill_abs_sum,0.001193522781916771,0.0012507343734820954
num__pay_6,0.0011305941713095006,0.0012444046176413566
num__log1p_bill_abs_mean,0.0010248734521870891,0.0009873869764668653
num__bill_neg_count,0.000747470979076759,0.0008082138217883685
num__log1p_bill_pos_sum,0.000742008431268738,0.0008250057085960624
num__bill_any_negative,0.0006990668818981206,0.0007899626896057352
num__log1p_bill_neg_abs_sum,0.0002987601301256937,0.000269474047878195
num__pay_gt_abs_bill_1,0.00018441942645745863,0.00019492718371689387
num__pay_gt_abs_bill_2,6.588524683938582e-05,9.357465315748232e-05
num__pay_gt_abs_bill_6,0.0,0.0
num__pay_gt_abs_bill_3,0.0,0.0
num__pay_gt_abs_bill_4,0.0,0.0
num__pay_gt_abs_bill_5,0.0,0.0
